combo,puts
b21e2f0beed1445ee5502bb7b508f35f, 31288
4e175a01d6c474a23c3bdd6264af74a8, 30629
e03e0ce0f38813b8bda39018a66ff308, 21459
fdbd558ce1e0f20492b9265abb1ae1aa, 21311
1b091fed3f44b6b214794d96c5e93f19, 12375
ba2ebe0b744233aa70366a0300478b82, 12347
f79555f2b571f802b3ef4a0596f18b44, 7226
e31e47e8971035fe5b018f4ff8d70528, 7225
231cb68c966c14126f0ff5087cab7b7b, 6392
4a30a12df87ace2b1c8174e3614c28d7, 6376
6421edbf9576a1388ddfdcf8435a00d4, 5139
8235962be7642d37f3a9d3f760478e2f, 5123
0d5b2049e52109119b6bddba2c47e7ff, 2898
46f37361d978ec04ca506bb3f0b9f1e6, 2886
5f1fd284bce471acb09190b241b32002, 2014
268081db3436ceb8c308f1f2f5fa386b, 2013
bbcba523a4758e819fd75fe3132fd090, 1978
b6276ac31db3dd23304d5c6fae3a9821, 1963
3c16d3ed1187ef3547885f96a9b30b84, 1885
f623e844dce99d1737a2344c1d0c2071, 1807
c9cf1e53be2fbceec1cdffbecc81357c, 1635
556c4e1c2310980fdf64276b3cf3a92f, 1632
cf710a6d70e3f4693d08fc5ececcc843, 1495
6530ae44dfbe6245f6de29612d950924, 1484
9895c4dc669764a9d8e409f3c71b24f0, 1449
273fe51e47299bf266682b7154dc5fcb, 1395
0e4608a1e2719259b988212f3e05bc91, 1264
78e108fe9b2defdac23f751b5e332159, 1261
7d69d54b51fd5c8f08563f288a881441, 1206
dad2d5958c0cd9b8e9abaa076068129e, 1202
7f49fd25f7213095689f84a67bb1bf70, 1184
445aa5a5384cf0ff8651dce9f87e38b9, 1183
53f7287632029108c76f9d7bead260eb, 1176
e1c6492205c76f9b5feceb99c31db7a8, 1174
0281747db8a1917e2ca77f509d979670, 1157
baa11820f80cf41d12e671bcd8e4920e, 1157
cf02abe6b1830640b6269d28d4a28edc, 1150
5750b966fc0d324db6a227658f106837, 1147
f6a6cf2b00fa191edbd0ca94b6f915e0, 1132
595902dbc5f0d55a3ee9993daa2826f4, 1116
3a26d4881842f79ecedaefdad6bb8708, 1116
f7e76823759c3a75c18de4f7b13586ec, 1033
8b7ee8edf56b75afb2a597313eee8fd6, 1032
caadc46b91f4c94ab623af72a04bdd36, 994
5388cbf9f4725c88342812f11f82eba9, 994
264206fbde7515c20046bed453d92aee, 917
b233c5e21b49375cdd6fd2a04f9f5117, 916
dcefef134deebccdaee8b0098044cc09, 912
10712621c8d4ec0de67890445314bc9c, 859
25e422afc276ba5dfdafa32badfe3f72, 850
1d8568ea7b1b6bd36b136447cda6b8e5, 849
3cdee6ae73c0e193b5bb51271ac1ab7e, 817
07769207220f2b9ddfcfaaff2555b1b3, 798
a53ce85af663f6374f0b5e2bdb689b29, 783
63dfc95265bec94612f5baaed7dcb533, 765
762246cf164c1584fc0e5c864954d597, 762
8cdc4c7423b11746a1857c6eace82e99, 737
2153c11764702a62816d83940e126480, 737
c3b43ebc605f9232261b47dcb10f5a09, 723
03d2ad6dbbe724ca7ae4edbd50800fcf, 723
c2fd187c8a3d0f7e81896d1e05b88314, 713
7b3cc69d1badaebd3bf14c9172da33ee, 711
2c42f2421e44ccd469a7affd24829b02, 697
c1d494b1ad3e35a35a1dab445ffb48a7, 696
e5217742ce949228b9c508a3adf0f15a, 672
0c114c95056a3c8dd5b501b00ed34129, 665
35abc64096a5c7662e0df52903914f9e, 565
b49c799470af371ae1fb4f5fa97a043d, 560
49cacb78503920677f65ee31c2a176e1, 553
3549dcd9965165da4a78d3962944e162, 551
c4667b8918424cd2b12ca0a0a98103fc, 548
3627aa97dd15de75b2f29b30bc85dc2d, 545
5e26eeb06a40714ab2e135ecbe7d8757, 527
012936af22b86a97064c472da7a06cb7, 527
bfc1378fa5bd26c32d2f34952cbded58, 515
829a421876298123db73ea34800eb825, 512
